"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",https-proxy-agent:2.2.2,/src/target/classes/static/vendors/jquery-mask/package-lock.json?https-proxy-agent,"","","","",pkg:npm/https-proxy-agent@2.2.2,"",GHSA-pc5p-h8pf-mvwp,CWE-300 Channel Accessible by Non-Endpoint,"Versions of `https-proxy-agent` prior to 2.2.3 are vulnerable to Machine-In-The-Middle. The package fails to enforce TLS on the socket if the proxy server responds the to the request with a HTTP status different than 200. This allows an attacker with access to the proxy server to intercept unencrypted communications, which may include sensitive information such as credentials.   ## Recommendation  Upgrade to version 3.0.0 or 2.2.3.",NPM,"","","",MEDIUM,6.099999904632568,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:C/C:H/I:N/A:N,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",js-yaml:3.13.1,/src/target/classes/static/vendors/jquery-mask/package-lock.json?js-yaml,"","","","",pkg:npm/js-yaml@3.13.1,"",GHSA-mh29-5h37-fv8m,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"### Impact  In js-yaml 4.1.0, 4.0.0, and 3.14.1 and below, it's possible for an attacker to modify the prototype of the result of a parsed yaml document via prototype pollution (`__proto__`). All users who parse untrusted yaml documents may be impacted.  ### Patches  Problem is patched in js-yaml 4.1.1 and 3.14.2.  ### Workarounds  You can protect against this kind of attack on the server by using `node --disable-proto=delete` or `deno` (in Deno, pollution protection is on by default).  ### References  https://cheatsheetseries.owasp.org/cheatsheets/Prototype_Pollution_Prevention_Cheat_Sheet.html",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",json-schema:0.2.3,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?json-schema,"","","","",pkg:npm/json-schema@0.2.3,"",GHSA-896r-f27r-55mw,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-915 Improperly Controlled Modification of Dynamically-Determined Object Attributes",json-schema before version 0.4.0 is vulnerable to Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution').,NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",GHSA-p6mc-m468-83gw,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-770 Allocation of Resources Without Limits or Throttling","Versions of lodash prior to 4.17.19 are vulnerable to Prototype Pollution. The functions `pick`, `set`, `setWith`, `update`, `updateWith`, and `zipObjectDeep` allow a malicious user to modify the prototype of Object if the property identifiers are user-supplied. Being affected by this issue requires manipulating objects based on user-provided property values or arrays.  This vulnerability causes the addition or modification of an existing property that will exist on all objects and may lead to Denial of Service or Code Execution under specific circumstances.",NPM,"","","",HIGH,7.400000095367432,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",GHSA-35jh-r3h4-6jhm,"CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'), CWE-94 Improper Control of Generation of Code ('Code Injection')",`lodash` versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,NPM,"","","",HIGH,7.199999809265137,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",GHSA-29mw-wpgm-hmr9,"CWE-400 Uncontrolled Resource Consumption, CWE-1333 Inefficient Regular Expression Complexity","All versions of package lodash prior to 4.17.21 are vulnerable to Regular Expression Denial of Service (ReDoS) via the `toNumber`, `trim` and `trimEnd` functions.   Steps to reproduce (provided by reporter Liyuan Chen): ```js var lo = require('lodash');  function build_blank(n) {     var ret = ""1""     for (var i = 0; i < n; i++) {         ret += "" ""     }     return ret + ""1""; } var s = build_blank(50000) var time0 = Date.now(); lo.trim(s)  var time_cost0 = Date.now() - time0; console.log(""time_cost0: "" + time_cost0); var time1 = Date.now(); lo.toNumber(s) var time_cost1 = Date.now() - time1; console.log(""time_cost1: "" + time_cost1); var time2 = Date.now(); lo.trimEnd(s); var time_cost2 = Date.now() - time2; console.log(""time_cost2: "" + time_cost2); ```",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",minimatch:3.0.4,/src/target/classes/static/vendors/jquery-mask/package-lock.json?minimatch,"","","","",pkg:npm/minimatch@3.0.4,"",GHSA-f8q6-p94x-37v3,"CWE-400 Uncontrolled Resource Consumption, CWE-1333 Inefficient Regular Expression Complexity","A vulnerability was found in the minimatch package. This flaw allows a Regular Expression Denial of Service (ReDoS) when calling the braceExpand function with specific arguments, resulting in a Denial of Service.",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",minimist:0.0.8,/src/target/classes/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@0.0.8,"",GHSA-xvch-5gv4-984h,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"Minimist prior to 1.2.6 and 0.2.4 is vulnerable to Prototype Pollution via file `index.js`, function `setKey()` (lines 69-95).",NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",minimist:0.0.8,/src/target/classes/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@0.0.8,"",GHSA-vh95-rmgr-6w4m,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"Affected versions of `minimist` are vulnerable to prototype pollution. Arguments are not properly sanitized, allowing an attacker to modify the prototype of `Object`, causing the addition or modification of an existing property that will exist on all objects.   Parsing the argument `--__proto__.y=Polluted` adds a `y` property with value `Polluted` to all objects. The argument `--__proto__=Polluted` raises and uncaught error and crashes the application.   This is exploitable if attackers have control over the arguments being passed to `minimist`.   ## Recommendation  Upgrade to versions 0.2.1, 1.2.3 or later.",NPM,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",minimist:1.2.0,/src/target/classes/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@1.2.0,"",GHSA-xvch-5gv4-984h,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"Minimist prior to 1.2.6 and 0.2.4 is vulnerable to Prototype Pollution via file `index.js`, function `setKey()` (lines 69-95).",NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",minimist:1.2.0,/src/target/classes/static/vendors/jquery-mask/package-lock.json?minimist,"","","","",pkg:npm/minimist@1.2.0,"",GHSA-vh95-rmgr-6w4m,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"Affected versions of `minimist` are vulnerable to prototype pollution. Arguments are not properly sanitized, allowing an attacker to modify the prototype of `Object`, causing the addition or modification of an existing property that will exist on all objects.   Parsing the argument `--__proto__.y=Polluted` adds a `y` property with value `Polluted` to all objects. The argument `--__proto__=Polluted` raises and uncaught error and crashes the application.   This is exploitable if attackers have control over the arguments being passed to `minimist`.   ## Recommendation  Upgrade to versions 0.2.1, 1.2.3 or later.",NPM,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",on-headers:1.0.2,/src/target/classes/static/vendors/jquery-mask/package-lock.json?on-headers,"","","","",pkg:npm/on-headers@1.0.2,"",GHSA-76c9-3jph-rj3q,CWE-241 Improper Handling of Unexpected Data Type,"### Impact  A bug in on-headers versions `< 1.1.0` may result in response headers being inadvertently modified when an array is passed to `response.writeHead()`  ### Patches  Users should upgrade to `1.1.0`  ### Workarounds  Uses are encouraged to upgrade to `1.1.0`, but this issue can be worked around by passing an object to `response.writeHead()` rather than an array.",NPM,"","","",LOW,3.4000000953674316,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:N,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",qs:6.5.2,/src/target/classes/static/vendors/jquery-mask/package-lock.json?qs,"","","","",pkg:npm/qs@6.5.2,"",GHSA-hrpp-h998-j3pp,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"qs before 6.10.3 allows attackers to cause a Node process hang because an `__ proto__` key can be used. In many typical web framework use cases, an unauthenticated remote attacker can place the attack payload in the query string of the URL that is used to visit the application, such as `a[__proto__]=b&a[__proto__]&a[length]=100000000`. The fix was backported to qs 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, and 6.2.4.",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",request:2.88.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?request,"","","","",pkg:npm/request@2.88.0,"",GHSA-p8p7-x288-28g6,CWE-918 Server-Side Request Forgery (SSRF),"The `request` package through 2.88.2 for Node.js and the `@cypress/request` package prior to 3.0.0 allow a bypass of SSRF mitigations via an attacker-controller server that does a cross-protocol redirect (HTTP to HTTPS, or HTTPS to HTTP).  NOTE: The `request` package is no longer supported by the maintainer.",NPM,"","","",MEDIUM,6.099999904632568,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",semver:5.4.1,/src/target/classes/static/vendors/jquery-mask/package-lock.json?semver,"","","","",pkg:npm/semver@5.4.1,"",GHSA-c2qf-rxjj-qqgw,CWE-1333 Inefficient Regular Expression Complexity,"Versions of the package semver before 7.5.2 on the 7.x branch, before 6.3.1 on the 6.x branch, and all other versions before 5.7.2 are vulnerable to Regular Expression Denial of Service (ReDoS) via the function new Range, when untrusted user data is provided as a range.",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",send:0.16.1,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?send,"","","","",pkg:npm/send@0.16.1,"",GHSA-m6fv-jmcg-4jfg,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"### Impact  passing untrusted user input - even after sanitizing it - to `SendStream.redirect()` may execute untrusted code  ### Patches  this issue is patched in send 0.19.0  ### Workarounds  users are encouraged to upgrade to the patched version of express, but otherwise can workaround this issue by making sure any untrusted inputs are safe, ideally by validating them against an explicit allowlist  ### Details  successful exploitation of this vector requires the following:  1. The attacker MUST control the input to response.redirect() 1. express MUST NOT redirect before the template appears 1. the browser MUST NOT complete redirection before: 1. the user MUST click on the link in the template",NPM,"","","",MEDIUM,5.0,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",serve-static:1.13.1,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?serve-static,"","","","",pkg:npm/serve-static@1.13.1,"",GHSA-cm22-4g7w-348p,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"### Impact  passing untrusted user input - even after sanitizing it - to `redirect()` may execute untrusted code  ### Patches  this issue is patched in serve-static 1.16.0  ### Workarounds  users are encouraged to upgrade to the patched version of express, but otherwise can workaround this issue by making sure any untrusted inputs are safe, ideally by validating them against an explicit allowlist  ### Details  successful exploitation of this vector requires the following:  1. The attacker MUST control the input to response.redirect() 1. express MUST NOT redirect before the template appears 1. the browser MUST NOT complete redirection before: 1. the user MUST click on the link in the template",NPM,"","","",MEDIUM,5.0,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",shelljs:0.3.0,/src/target/classes/static/vendors/jquery-mask/package-lock.json?shelljs,"","","","",pkg:npm/shelljs@0.3.0,"",GHSA-4rq4-32rv-6wp6,CWE-269 Improper Privilege Management,shelljs is vulnerable to Improper Privilege Management,NPM,"","","",HIGH,7.099999904632568,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
